,continent,country,value
0,Asia,Afghanistan,135.3
1,Europe,Albania,65.5
2,Africa,Algeria,65.1
3,Africa,Angola,133.5
4,North America,Antigua and Barbuda,14.2
5,South America,Argentina,77.2
6,Asia,Armenia,3.1
7,Oceania,Australia,23.9
8,Europe,Austria,8.3
9,North America,Bahamas,6.8
10,Asia,Bangladesh,80.1
11,North America,Barbados,14.8
12,Europe,Belgium,3.9000000000000004
13,North America,Belize,24.0
14,Africa,Benin,95.0
15,Europe,Bosnia and Herzegovina,13.9
16,Africa,Botswana,161.6
17,South America,Brazil,27.7
18,Europe,Bulgaria,17.1
19,Africa,Burkina Faso,100.3
20,Africa,Cabo Verde,38.5
21,Asia,Cambodia,102.7
22,Africa,Cameroon,185.9
23,North America,Canada,4.4
24,Africa,Central African Republic,185.39999999999998
25,South America,Chile,24.5
26,Africa,Comoros,54.8
27,Africa,Congo,355.5
28,North America,Costa Rica,16.6
29,Europe,Croatia,7.7
30,Europe,Czechia,5.4
31,Africa,C̫te d'Ivoire,59.5
32,Africa,Democratic Republic of the Congo,118.4
33,Europe,Denmark,8.6
34,Africa,Djibouti,33.0
35,North America,Dominican Republic,161.2
36,South America,Ecuador,68.8
37,Africa,Egypt,55.7
38,North America,El Salvador,102.1
39,Europe,Estonia,5.9
40,Africa,Eswatini,36.6
41,Africa,Ethiopia,115.5
42,Oceania,Fiji,12.5
43,Europe,Finland,15.7
44,Europe,France,7.7
45,Africa,Gambia,151.6
46,Asia,Georgia,58.4
47,Europe,Germany,6.4
48,Africa,Ghana,42.0
49,Europe,Greece,16.0
50,North America,Grenada,39.0
51,North America,Guatemala,129.3
52,Africa,Guinea,338.9
53,Africa,Guinea-Bissau,103.0
54,North America,Haiti,136.9
55,North America,Honduras,112.4
56,Europe,Hungary,10.7
57,Europe,Iceland,10.8
58,Asia,Indonesia,3.3
59,Asia,Iran (Islamic Republic of),59.7
60,Europe,Ireland,22.5
61,Asia,Israel,13.0
62,Europe,Italy,9.4
63,North America,Jamaica,169.6
64,Asia,Japan,3.7
65,Asia,Kazakhstan,0.5
66,Africa,Kenya,156.8
67,Oceania,Kiribati,32.0
68,Asia,Kuwait,33.900000000000006
69,Asia,Kyrgyzstan,4.6
70,Asia,Lao People's Democratic Republic,24.400000000000002
71,Europe,Latvia,4.8
72,Asia,Lebanon,33.8
73,Africa,Lesotho,119.69999999999999
74,Africa,Liberia,227.39999999999998
75,Africa,Libya,115.1
76,Europe,Lithuania,12.9
77,Europe,Luxembourg,7.1
78,Africa,Madagascar,41.9
79,Africa,Malawi,346.9
80,Asia,Malaysia,46.8
81,Asia,Maldives,4.4
82,Europe,Malta,8.9
83,Africa,Mauritania,44.3
84,Africa,Mauritius,52.0
85,North America,Mexico,25.1
86,Europe,Montenegro,18.3
87,Africa,Mozambique,201.9
88,Asia,Myanmar,10.6
89,Africa,Namibia,217.9
90,Asia,Nepal,78.7
91,Europe,Netherlands (Kingdom of the),10.6
92,Oceania,New Zealand,25.4
93,Africa,Niger,69.0
94,Africa,Nigeria,110.4
95,Europe,North Macedonia,30.9
96,Europe,Norway,7.7
97,Asia,Pakistan,31.0
98,Asia,Palestine,20.1
99,South America,Paraguay,26.299999999999997
100,Asia,Philippines,17.7
101,Europe,Poland,5.6
102,Europe,Portugal,24.0
103,Asia,Republic of Korea,2.1
104,Europe,Republic of Moldova,24.9
105,Europe,Romania,30.6
106,Europe,Russian Federation,2.0
107,North America,Saint Kitts and Nevis,51.6
108,North America,Saint Lucia,18.0
109,North America,Saint Vincent and the Grenadines,51.5
110,Oceania,Samoa,17.0
111,Africa,Sao Tome and Principe,28.2
112,Africa,Senegal,62.699999999999996
113,Europe,Serbia,18.4
114,Africa,Seychelles,12.9
115,Africa,Sierra Leone,219.3
116,Asia,Singapore,8.3
117,Europe,Slovakia,8.200000000000001
118,Europe,Slovenia,3.8
119,Africa,Somalia,85.1
120,Africa,South Africa,31.4
121,Africa,South Sudan,317.6
122,Europe,Spain,11.1
123,Asia,Sri Lanka,5.8
124,Africa,Sudan,111.9
125,South America,Suriname,14.4
126,Europe,Sweden,7.9
127,Europe,Switzerland,4.9
128,Asia,Thailand,6.0
129,Africa,Togo,120.5
130,Oceania,Tonga,20.5
131,North America,Trinidad and Tobago,20.4
132,Africa,Tunisia,73.1
133,Africa,Uganda,167.5
134,Europe,Ukraine,17.8
135,Asia,United Arab Emirates,2.0
136,Europe,United Kingdom of Great Britain and Northern Ireland,10.4
137,Africa,United Republic of Tanzania,172.4
138,North America,United States of America,6.0
139,South America,Uruguay,14.3
140,Asia,Uzbekistan,25.4
141,Oceania,Vanuatu,9.6
142,Asia,Viet Nam,2.3
143,Asia,Yemen,80.4
144,Africa,Zambia,189.4
145,Africa,Zimbabwe,234.3
